id,category,subcategory,difficulty,question,answer,explanation,source,source_checked_date,status,app_ready,review_notes
P3-001,part3,高気圧障害・救急,basic,心臓の左心室から送り出された血液は、大動脈を通って全身に酸素や栄養分を運ぶ。,○,正解！左心室→大動脈→全身→静脈→右心房の順で循環します（体循環）。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-002,part3,高気圧障害・救急,basic,肺胞（はいほう）で行われるガス交換は、物理的な拡散現象（分圧の高い方から低い方へ移動する）によるものである。,○,正解！酸素は肺から血液へ、二酸化炭素は血液から肺へと、分圧差によって移動します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-003,part3,高気圧障害・救急,basic,赤血球に含まれるヘモグロビンは、酸素と結合して酸素ヘモグロビンとなり、全身に酸素を運搬する。,○,正解！鮮紅色の動脈血になる理由です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-004,part3,高気圧障害・救急,basic,血液中の二酸化炭素の大部分は、ヘモグロビンと結合して運搬される。,×,不正解！二酸化炭素の大部分は、血漿（けっしょう）中に「重炭酸イオン」という形で溶け込んで運ばれます（一部はヘモグロビンとも結合しますが）。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-005,part3,高気圧障害・救急,basic,外耳と中耳の境界にある膜を「鼓膜」といい、中耳は「耳管（ユースタキー管）」によって咽頭（のど）とつながっている。,○,正解！この耳管を通気させることで、鼓膜の内外の圧力を調整するのが「耳抜き」です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-006,part3,高気圧障害・救急,basic,内耳にある「半規管」は、聴覚をつかさどる器官である。,×,不正解！半規管（三半規管）は「平衡感覚（回転）」をつかさどります。聴覚はカタツムリのような形の「蝸牛（かぎゅう）」です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-007,part3,高気圧障害・救急,basic,スクイズ（締め付け）は、潜降時に体内の閉鎖空間の圧力が、周囲の圧力よりも「高く」なることで生じる。,×,不正解！周囲の水圧により、体内の空洞の圧力が相対的に「低く（陰圧）」なることで、組織が吸い出されるように腫れたり出血したりする現象です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-008,part3,高気圧障害・救急,basic,中耳スクイズは、耳管の通気が悪いために起こり、鼓膜の充血や出血、激しい痛みを伴う。,○,正解！最も頻繁に起こる潜水障害です。風邪などで耳管が詰まっているとなりやすいです。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-009,part3,高気圧障害・救急,basic,リバースブロックは、浮上時に体内の空気が膨張し、排出されずに内部の圧力が高くなることで痛みが生じる現象である。,○,正解！スクイズとは逆の現象です。無理に浮上せず、少し潜降して痛みを和らげてから、ゆっくり浮上します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-010,part3,高気圧障害・救急,basic,窒素酔い（Nitrogen Narcosis）は、水深が深くなり窒素分圧が高くなるほど症状が重くなり、判断力の低下や多幸感が生じる。,○,正解！「マティーニの法則」とも呼ばれ、深度30mを超えると顕著になります。浮上すれば速やかに回復します。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-011,part3,高気圧障害・救急,basic,酸素中毒の中枢神経型（ポール・ベール効果）は、酸素分圧が低い場所で長時間潜水した際に起こる。,×,不正解！酸素分圧が「高い（1.4〜1.6気圧以上）」場所で起こります。水深の深い場所や、高濃度酸素使用時に注意が必要です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-012,part3,高気圧障害・救急,basic,酸素中毒の症状として、筋肉の痙攣（けいれん）、吐き気、めまい、視野狭窄などがある。,○,正解！水中での痙攣は溺死に直結するため極めて危険です。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
P3-013,part3,高気圧障害・救急,basic,一酸化炭素（CO）は、ヘモグロビンとの結合力が酸素の約200〜300倍強く、酸素の運搬を阻害する。,○,正解！コンプレッサーの排気ガス混入などで起こります。,既存公開問題,2026-05-19,approved,yes,existing_public_fixed
